"pseudo_user","rides_count","avg_length","conversion_potential"
"","324039","13.07","High"
"13022","45730","34.89","High"
"13300","30279","35.07","High"
"13042","22530","35.83","High"
"LF-005","20237","26.93","High"
"13008","20041","37.86","High"
"15544","17683","30.22","High"
"TA1308000001","16285","29.46","High"
"KA1503000064","15390","35.08","High"
"TA1308000050","12123","16.77","High"
"TA1308000012","11918","33.58","High"
"13431","11840","33.59","High"
"SL-005","11631","31.20","High"
"13146","11069","22.24","High"
"13179","10833","22.14","High"
"623","10823","32.42","High"
"TA1307000039","10760","18.02","High"
"TA1307000134","10602","16.93","High"
"KA1504000135","9969","15.01","High"
"TA1307000117","9698","30.27","High"
"632","9691","16.89","High"
"13137","9490","18.49","High"
"13001","9272","32.43","High"
"TA1309000039","9174","25.75","High"
"TA1306000013","9109","31.04","High"
"TA1309000049","9027","26.85","High"
"13430","8978","22.27","High"
"TA1306000029","8807","32.25","High"
"KA1503000043","8760","15.07","High"
"TA1305000014","8520","16.21","High"
"TA1305000011","8504","30.25","High"
"TA1306000016","8401","13.53","High"
"13029","8358","29.58","High"
"TA1307000126","8353","20.36","High"
"13193","8260","16.68","High"
"TA1309000019","8138","22.75","High"
"TA1309000025","7924","16.60","High"
"TA1306000012","7908","15.12","High"
"TA1307000041","7815","26.73","High"
"TA1308000049","7802","15.26","High"
"13278","7758","20.09","High"
"TA1309000058","7758","15.47","High"
"TA1307000151","7503","17.46","High"
"13045","7434","22.05","High"
"13263","7404","31.53","High"
"21544","7265","18.41","High"
"13061","7192","17.64","High"
"13071","7178","17.11","High"
"TA1306000003","7166","14.35","High"
"LP-","7110","32.17","High"
"TA1307000150","7076","22.21","High"
"TA1307000142","7072","18.44","High"
"TA1309000061","7031","14.06","High"
"KA1503000014","7001","12.52","High"
"TA1305000041","6978","17.76","High"
"13325","6860","17.41","High"
"TA1305000002","6859","24.20","High"
"TA1309000002","6787","34.84","High"
"TA1309000023","6774","15.99","High"
"13235","6685","17.34","High"
"TA1307000128","6622","18.84","High"
"KA1503000071","6579","14.82","High"
"TA1309000033","6544","16.36","High"
"331","6516","15.14","High"
"WL-012","6475","16.60","High"
"TA1305000003","6474","27.55","High"
"TA1305000029","6313","24.29","High"
"13016","6303","28.73","High"
"TA1306000014","6222","14.44","High"
"TA1305000032","6217","16.92","High"
"13276","6117","23.09","High"
"TA1307000052","5990","16.83","High"
"TA1309000024","5954","19.67","High"
"TA1307000136","5892","16.23","High"
"TA1307000127","5877","18.06","High"
"TA1307000131","5845","29.96","High"
"13277","5836","19.51","High"
"13063","5817","16.38","High"
"13427","5687","32.63","High"
"15529","5659","29.70","High"
"TA1305000022","5653","17.69","High"
"TA1307000120","5623","16.74","High"
"13192","5616","16.59","High"
"TA1308000019","5611","16.11","High"
"TA1306000010","5601","21.52","High"
"13033","5592","15.19","High"
"13011","5583","18.74","High"
"TA1305000025","5563","24.68","High"
"638","5546","17.72","High"
"15576","5514","36.09","High"
"TA1309000035","5494","15.27","High"
"13085","5470","19.67","High"
"TA1308000022","5396","21.19","High"
"KA1504000133","5380","22.94","High"
"23003","5348","17.12","High"
"SL-008","5345","20.36","High"
"13341","5330","18.82","High"
"TA1309000066","5275","15.54","High"
"TA1307000038","5229","18.08","High"
"KA1504000076","5216","11.15","Medium"
"TA1305000006","5178","22.11","High"
"13050","5173","27.05","High"
"15534","5170","29.84","High"
"13323","5149","17.05","High"
"13128","5135","26.59","High"
"KA1503000012","5091","27.26","High"
"13191","5040","17.27","High"
"TA1309000010","5039","23.51","High"
"TA1309000037","5008","16.37","High"
"TA1305000004","4985","32.66","High"
"13084","4981","15.42","High"
"15541","4967","33.85","High"
"13021","4907","14.88","High"
"TA1307000006","4885","14.89","High"
"TA1306000009","4764","13.34","High"
"13265","4753","13.08","High"
"TA1307000064","4731","13.71","High"
"13034","4677","34.10","High"
"TA1308000009","4652","37.35","High"
"15530","4622","24.99","High"
"KA1503000041","4597","32.29","High"
"TA1307000107","4585","17.65","High"
"639","4553","37.71","High"
"RN-","4550","15.54","High"
"TA1307000111","4475","17.92","High"
"TA1306000026","4428","15.40","High"
"13221","4420","17.89","High"
"13133","4394","17.65","High"
"13036","4379","29.17","High"
"13379","4351","17.86","High"
"13338","4330","29.49","High"
"TA1309000036","4310","16.41","High"
"TA1305000020","4303","14.95","High"
"TA1305000030","4258","24.46","High"
"TA1305000010","4257","32.80","High"
"KA1504000146","4245","20.05","High"
"TA1305000034","4234","16.66","High"
"TA1307000113","4226","13.19","High"
"KA1504000134","4226","22.12","High"
"13158","4208","17.50","High"
"KP1705001026","4137","22.77","High"
"15545","4110","33.35","High"
"13017","4109","16.64","High"
"13058","4099","15.53","High"
"13229","4094","15.96","High"
"13243","4093","18.30","High"
"TA1307000001","4058","14.00","High"
"TA1307000062","4046","15.49","High"
"13154","4013","14.89","High"
"TA1307000124","4005","25.45","High"
"13074","3986","18.44","High"
"13389","3899","23.54","High"
"13138","3838","18.14","High"
"13157","3808","17.60","High"
"TA1308000029","3746","28.21","High"
"13303","3744","17.79","High"
"13056","3716","17.62","High"
"TA1309000004","3714","22.90","High"
"TA1306000011","3709","15.79","High"
"13068","3674","17.59","High"
"TA1306000015","3668","19.47","High"
"13124","3655","35.39","High"
"13196","3581","14.48","High"
"13102","3562","31.67","High"
"KA1503000015","3498","28.43","High"
"TA1307000164","3494","16.30","High"
"TA1307000163","3492","17.09","High"
"TA1309000014","3458","15.75","High"
"SL-007","3447","26.96","High"
"TA1305000035","3443","24.91","High"
"KA1504000079","3430","13.71","High"
"18062","3424","18.39","High"
"TA1305000039","3373","16.21","High"
"KA1503000044","3363","25.13","High"
"SL-011","3358","16.57","High"
"15535","3352","19.30","High"
"TA1309000007","3347","17.59","High"
"KA1503000074","3329","45.36","High"
"15539","3314","17.86","High"
"TA1309000027","3252","14.52","High"
"13028","3228","15.79","High"
"TA1307000166","3176","17.01","High"
"chargingstx1","3129","14.58","High"
"13150","3117","27.82","High"
"TA1309000001","3116","14.39","High"
"13132","3100","15.48","High"
"SL-012","3013","23.60","High"
"TA1306000032","2998","15.86","High"
"620","2978","12.41","High"
"604","2977","17.52","High"
"TA1309000008","2971","21.78","High"
"TA1309000030","2954","17.20","High"
"TA1309000043","2951","15.83","High"
"13053","2951","21.55","High"
"KA1706005007","2919","22.46","High"
"KA1504000151","2902","19.32","High"
"13194","2898","14.54","High"
"13332","2883","13.38","High"
"13156","2852","24.59","High"
"TA1305000005","2849","25.01","High"
"13059","2841","22.30","High"
"TA1307000061","2840","24.30","High"
"TA1309000006","2835","16.24","High"
"TA1307000121","2797","11.93","Medium"
"KA1503000022","2796","15.99","High"
"13289","2794","16.26","High"
"13224","2780","17.89","High"
"KA1504000171","2771","31.09","High"
"13319","2760","16.01","High"
"SL-010","2740","21.07","High"
"TA1305000037","2740","17.76","High"
"TA1309000042","2735","16.78","High"
"TA1307000130","2722","12.61","High"
"TA1307000070","2711","16.45","High"
