"dow","start_hour","rides","rides_member","rides_casual"
0,0,"21194","9615","11579"
0,1,"13603","6275","7328"
0,2,"8788","3911","4877"
0,3,"4523","2150","2373"
0,4,"3137","1564","1573"
0,5,"3408","1969","1439"
0,6,"6753","4393","2360"
0,7,"11287","7352","3935"
0,8,"18530","11851","6679"
0,9,"31541","19001","12540"
0,10,"44831","25632","19199"
0,11,"54916","30595","24321"
0,12,"59712","32305","27407"
0,13,"61059","32489","28570"
0,14,"62110","32334","29776"
0,15,"63594","33252","30342"
0,16,"60021","31922","28099"
0,17,"53385","29708","23677"
0,18,"47676","27261","20415"
0,19,"36634","21193","15441"
0,20,"26806","15979","10827"
0,21,"20879","12067","8812"
0,22,"15836","8704","7132"
0,23,"10244","5372","4872"
1,0,"6351","3103","3248"
1,1,"3425","1543","1882"
1,2,"2114","1057","1057"
1,3,"1575","798","777"
1,4,"1871","1145","726"
1,5,"6930","5287","1643"
1,6,"20727","16803","3924"
1,7,"36783","29759","7024"
1,8,"45412","36398","9014"
1,9,"29162","21173","7989"
1,10,"26740","17234","9506"
1,11,"32841","20886","11955"
1,12,"38862","24292","14570"
1,13,"39262","23973","15289"
1,14,"40474","24693","15781"
1,15,"49880","31687","18193"
1,16,"67908","46568","21340"
1,17,"82588","58128","24460"
1,18,"65912","45324","20588"
1,19,"47088","31502","15586"
1,20,"32672","21467","11205"
1,21,"23109","15057","8052"
1,22,"15203","9221","5982"
1,23,"8752","5095","3657"
2,0,"5052","2637","2415"
2,1,"2678","1261","1417"
2,2,"1655","797","858"
2,3,"1157","627","530"
2,4,"1840","1234","606"
2,5,"8352","6608","1744"
2,6,"26053","21101","4952"
2,7,"50057","40603","9454"
2,8,"60984","49274","11710"
2,9,"33445","25207","8238"
2,10,"26666","18371","8295"
2,11,"31807","21168","10639"
2,12,"37534","24903","12631"
2,13,"36776","23943","12833"
2,14,"38471","24671","13800"
2,15,"51632","34885","16747"
2,16,"80134","56838","23296"
2,17,"99619","71081","28538"
2,18,"76417","52387","24030"
2,19,"52584","35649","16935"
2,20,"36521","24162","12359"
2,21,"28894","18501","10393"
2,22,"20093","12081","8012"
2,23,"10402","6013","4389"
3,0,"5643","3001","2642"
3,1,"2961","1504","1457"
3,2,"1688","766","922"
3,3,"1211","629","582"
3,4,"1812","1179","633"
3,5,"8489","6700","1789"
3,6,"25341","20492","4849"
3,7,"50276","40606","9670"
3,8,"61401","49140","12261"
3,9,"34001","25711","8290"
3,10,"26512","18664","7848"
3,11,"32428","22325","10103"
3,12,"38129","26019","12110"
3,13,"38225","25751","12474"
3,14,"39983","26438","13545"
3,15,"52370","35808","16562"
3,16,"80329","57475","22854"
3,17,"100979","71205","29774"
3,18,"75908","51637","24271"
3,19,"52511","35080","17431"
3,20,"36951","24446","12505"
3,21,"30526","19259","11267"
3,22,"21645","12970","8675"
3,23,"12188","6992","5196"
4,0,"6452","3571","2881"
4,1,"3248","1640","1608"
4,2,"1962","912","1050"
4,3,"1286","693","593"
4,4,"1773","1198","575"
4,5,"7826","6157","1669"
4,6,"24348","19503","4845"
4,7,"47244","38067","9177"
4,8,"58814","46835","11979"
4,9,"35459","26785","8674"
4,10,"28195","19307","8888"
4,11,"33670","22661","11009"
4,12,"39974","26635","13339"
4,13,"40330","26428","13902"
4,14,"40879","26313","14566"
4,15,"54007","35999","18008"
4,16,"78556","54375","24181"
4,17,"100021","69257","30764"
4,18,"81442","53856","27586"
4,19,"56464","36757","19707"
4,20,"38920","24925","13995"
4,21,"31946","20036","11910"
4,22,"27191","15812","11379"
4,23,"15750","9015","6735"
5,0,"9060","4730","4330"
5,1,"5253","2510","2743"
5,2,"2762","1340","1422"
5,3,"1890","1006","884"
5,4,"2013","1291","722"
5,5,"6993","5235","1758"
5,6,"23789","17172","6617"
5,7,"36812","27779","9033"
5,8,"42430","32535","9895"
5,9,"30690","21658","9032"
5,10,"29873","19089","10784"
5,11,"39332","24594","14738"
5,12,"48183","29289","18894"
5,13,"49667","30237","19430"
5,14,"52061","31225","20836"
5,15,"63317","38968","24349"
5,16,"76960","48666","28294"
5,17,"83415","53023","30392"
5,18,"71009","44077","26932"
5,19,"50773","31054","19719"
5,20,"35680","21444","14236"
5,21,"28635","16517","12118"
5,22,"26187","14187","12000"
5,23,"22230","11320","10910"
6,0,"18197","8704","9493"
6,1,"13554","6296","7258"
6,2,"7530","3407","4123"
6,3,"4097","1982","2115"
6,4,"2199","1133","1066"
6,5,"3380","2052","1328"
6,6,"7827","5367","2460"
6,7,"14090","9631","4459"
6,8,"25939","17122","8817"
6,9,"39403","24564","14839"
6,10,"51460","29851","21609"
6,11,"60423","33283","27140"
6,12,"66608","35469","31139"
6,13,"68296","34942","33354"
6,14,"68725","35166","33559"
6,15,"68986","34915","34071"
6,16,"67607","34247","33360"
6,17,"64269","33688","30581"
6,18,"59098","31801","27297"
6,19,"47320","25668","21652"
6,20,"34792","18542","16250"
6,21,"30013","15744","14269"
6,22,"29328","14557","14771"
6,23,"25504","12342","13162"
