"station_id","station_name","lat","lng","start_count","start_count_member","start_count_casual"
"",NULL,NULL,NULL,"870080","546041","324039"
"13022","Streeter Dr & Grand Ave","41.8922780644616181","-87.6120570484696369","62867","17137","45730"
"13300","DuSable Lake Shore Dr & Monroe St","41.8809719163568445","-87.6167547830493027","40019","9740","30279"
"13042","Michigan Ave & Oak St","41.9009639265766131","-87.6237708233324910","37180","14650","22530"
"LF-005","DuSable Lake Shore Dr & North Blvd","41.9117174413531019","-87.6268108405954612","35793","15556","20237"
"TA1307000039","Clark St & Elm St","41.9029398544986582","-87.6313442428264490","35653","24893","10760"
"KA1503000043","Kingsbury St & Kinzie St","41.8891797086818942","-87.6385068003721199","34825","26065","8760"
"TA1308000050","Wells St & Concord Ln","41.9121099488143607","-87.6346971844343895","33456","21333","12123"
"WL-012","Clinton St & Washington Blvd","41.8833844219740076","-87.6412091232537450","32575","26100","6475"
"KA1504000135","Wells St & Elm St","41.9031961893504537","-87.6343857861472515","30296","20327","9969"
"TA1308000001","Theater on the Lake","41.9262646012046035","-87.6308573303532767","29949","13664","16285"
"13008","Millennium Park","41.8810547066909866","-87.6240959177777142","29915","9874","20041"
"13137","Broadway & Barry Ave","41.9375940183393456","-87.6440994851187040","28377","18887","9490"
"TA1307000134","Wilton Ave & Belmont Ave","41.9401975903571656","-87.6529537564676101","27302","16700","10602"
"TA1305000032","Clinton St & Madison St","41.8826634298943362","-87.6411959383252492","26732","20515","6217"
"KA1503000071","University Ave & 57th St","41.7914821323056825","-87.5998723962125037","26511","19932","6579"
"13146","Clark St & Armitage Ave","41.9182971055799654","-87.6362950722789967","26384","15315","11069"
"SL-005","Indiana Ave & Roosevelt Rd","41.8679000022035979","-87.6230416121564129","26088","14457","11631"
"21544","State St & Chicago Ave","41.8966221624954498","-87.6286001788794644","25671","18406","7265"
"13179","Clark St & Lincoln Ave","41.9156970066454890","-87.6346063550524919","25282","14449","10833"
"TA1307000117","Wabash Ave & Grand Ave","41.8914562074821149","-87.6267644271449447","25093","15395","9698"
"KA1503000014","Ellis Ave & 60th St","41.7851004577068667","-87.6010767872845154","25085","18084","7001"
"TA1306000016","Sheffield Ave & Fullerton Ave","41.9255973213416787","-87.6537069674057663","25083","16682","8401"
"TA1306000012","Wells St & Huron St","41.8947306048639214","-87.6343844284603976","24962","17054","7908"
"13045","Dearborn St & Erie St","41.8940176081958701","-87.6293207101709203","24070","16636","7434"
"TA1305000014","Clark St & Wrightwood Ave","41.9295464447154249","-87.6431292378202027","23556","15036","8520"
