"start_date","rides","rides_member","rides_casual","avg_ride_length_min","avg_member_ride_length_min"
"2023-01-01","5100","3131","1969","16.00","12.68"
"2023-01-02","5467","3888","1579","12.31","10.72"
"2023-01-03","5101","3960","1141","11.21","9.93"
"2023-01-04","7221","5798","1423","10.85","10.23"
"2023-01-05","6522","5273","1249","9.80","9.27"
"2023-01-06","6485","5055","1430","10.83","10.23"
"2023-01-07","5374","3982","1392","11.90","10.82"
"2023-01-08","5333","3846","1487","12.75","11.36"
"2023-01-09","8007","6382","1625","10.26","9.76"
"2023-01-10","9819","7816","2003","11.28","10.53"
"2023-01-11","10507","8251","2256","11.07","10.32"
"2023-01-12","8698","6981","1717","9.65","9.47"
"2023-01-13","6971","5496","1475","9.92","9.52"
"2023-01-14","5755","4191","1564","13.01","10.73"
"2023-01-15","6055","4328","1727","13.86","11.46"
"2023-01-16","4564","3567","997","10.37","9.97"
"2023-01-17","8897","7225","1672","9.97","9.79"
"2023-01-18","8512","6872","1640","9.98","9.56"
"2023-01-19","7089","5872","1217","9.98","9.72"
"2023-01-20","7512","6085","1427","10.52","10.29"
"2023-01-21","6065","4496","1569","11.30","10.10"
"2023-01-22","3349","2623","726","10.90","10.25"
"2023-01-23","6505","5497","1008","9.93","9.66"
"2023-01-24","8231","6781","1450","10.37","10.31"
"2023-01-25","4357","3723","634","9.87","9.54"
"2023-01-26","5088","4288","800","10.32","10.05"
"2023-01-27","3974","3340","634","10.37","10.20"
"2023-01-28","2470","2014","456","11.68","11.24"
"2023-01-29","2386","1965","421","10.82","10.59"
"2023-01-30","3577","3141","436","9.68","9.22"
"2023-01-31","3989","3402","587","8.99","8.86"
"2023-02-01","5235","4440","795","9.57","9.46"
"2023-02-02","6062","5119","943","10.36","10.22"
"2023-02-03","3457","2898","559","10.16","9.99"
"2023-02-04","4868","3804","1064","14.83","13.70"
"2023-02-05","5523","4115","1408","12.95","11.15"
"2023-02-06","7202","5955","1247","10.62","9.61"
"2023-02-07","8173","6700","1473","10.02","9.88"
"2023-02-08","8376","6884","1492","10.39","10.00"
"2023-02-09","4428","3683","745","10.60","9.83"
"2023-02-10","7102","5627","1475","11.69","10.72"
"2023-02-11","7522","5154","2368","14.25","12.03"
"2023-02-12","8691","5689","3002","15.36","12.93"
"2023-02-13","9241","7206","2035","11.53","10.71"
"2023-02-14","9046","7227","1819","10.73","10.07"
"2023-02-15","8531","6866","1665","10.30","9.81"
"2023-02-16","3501","2947","554","10.29","9.94"
"2023-02-17","4431","3601","830","11.30","10.18"
"2023-02-18","6217","4324","1893","13.45","11.34"
"2023-02-19","8782","5443","3339","17.61","13.38"
"2023-02-20","8057","6056","2001","11.87","10.09"
"2023-02-21","7886","6376","1510","10.42","9.90"
"2023-02-22","3501","2899","602","9.28","9.11"
"2023-02-23","7705","6275","1430","10.51","9.43"
"2023-02-24","6320","4984","1336","10.43","9.63"
"2023-02-25","5522","4017","1505","12.23","10.79"
"2023-02-26","7163","5003","2160","14.08","11.74"
"2023-02-27","6529","5052","1477","10.58","9.99"
"2023-02-28","10190","8182","2008","10.95","9.91"
"2023-03-01","11787","8996","2791","11.87","10.96"
"2023-03-02","9025","7166","1859","10.10","9.89"
"2023-03-03","6599","5219","1380","10.31","9.62"
"2023-03-04","7642","5159","2483","13.69","11.76"
"2023-03-05","8210","5538","2672","14.08","11.47"
"2023-03-06","8064","6467","1597","10.68","10.12"
"2023-03-07","9839","7744","2095","10.89","10.11"
"2023-03-08","9722","7724","1998","10.60","9.72"
"2023-03-09","7772","6245","1527","10.20","9.33"
"2023-03-10","6086","4832","1254","10.16","9.67"
"2023-03-11","7740","4990","2750","13.18","11.30"
"2023-03-12","3950","3011","939","11.27","10.73"
"2023-03-13","5774","4687","1087","9.71","9.06"
"2023-03-14","8552","6607","1945","11.24","9.83"
"2023-03-15","10078","7666","2412","12.07","10.91"
"2023-03-16","8459","6625","1834","11.02","10.10"
"2023-03-17","7650","5731","1919","10.88","9.86"
"2023-03-18","3889","2848","1041","11.65","10.16"
"2023-03-19","5638","3966","1672","13.37","10.54"
"2023-03-20","8979","6975","2004","11.55","10.34"
"2023-03-21","11240","8708","2532","12.05","10.97"
"2023-03-22","9211","7283","1928","10.94","10.33"
"2023-03-23","8858","6913","1945","10.64","9.52"
"2023-03-24","8991","6836","2155","10.79","9.84"
"2023-03-25","5494","3852","1642","12.60","10.99"
"2023-03-26","6624","4558","2066","13.12","10.63"
"2023-03-27","9136","7064","2072","11.23","9.67"
"2023-03-28","11367","8787","2580","12.00","10.47"
"2023-03-29","9946","7850","2096","10.45","9.75"
"2023-03-30","11614","8712","2902","11.31","10.13"
"2023-03-31","8944","6351","2593","13.34","10.78"
"2023-04-01","7155","4919","2236","12.22","10.66"
"2023-04-02","11236","6932","4304","16.33","12.62"
"2023-04-03","9788","7571","2217","11.48","9.82"
"2023-04-04","8981","7109","1872","11.65","10.64"
"2023-04-05","10100","7419","2681","11.46","9.68"
"2023-04-06","12527","9097","3430","12.05","10.50"
"2023-04-07","11451","7677","3774","13.20","10.39"
"2023-04-08","15216","8210","7006","19.64","13.35"
"2023-04-09","14025","7375","6650","24.26","15.50"
"2023-04-10","16492","11180","5312","15.07","11.48"
"2023-04-11","21218","13949","7269","16.17","12.73"
"2023-04-12","22624","14442","8182","16.31","12.78"
"2023-04-13","23533","14630","8903","16.22","12.90"
"2023-04-14","24190","13883","10307","16.97","12.66"
"2023-04-15","28207","13407","14800","20.73","14.81"
"2023-04-16","6959","4517","2442","12.67","10.00"
"2023-04-17","7290","5785","1505","9.12","8.62"
"2023-04-18","15023","11035","3988","12.16","10.91"
"2023-04-19","14181","10408","3773","11.57","10.40"
